name,lat,lon,alt_km
NORAD-2119,57.4336,54.7506,967.5
NORAD-2120,-37.4912,137.9472,1116.6
NORAD-2121,31.6230,-28.7118,911.1
NORAD-2122,30.2421,-99.0706,987.8
NORAD-2123,30.3387,-47.5453,983.5
NORAD-2124,14.7621,-12.5875,976.0
NORAD-2125,28.6861,150.9458,597.5
NORAD-2140,-1.1027,17.1538,1188.7
NORAD-2141,35.6003,46.0969,955.3
NORAD-2142,18.0941,-42.6305,775.2
NORAD-2144,-14.0315,13.3721,744.1
NORAD-2150,-37.9316,-46.6639,1699.6
NORAD-2153,-38.7663,-152.7374,2220.1
NORAD-2154,-69.5163,-63.9001,653.4
NORAD-2173,-59.1967,179.8866,1105.8
NORAD-2174,-1.8377,86.1227,1092.1
NORAD-2176,25.6783,-129.3931,909.6
NORAD-2177,1.1354,153.4382,630.2
NORAD-2180,44.1119,49.5747,944.6
NORAD-2201,29.1365,-133.2565,2557.5
NORAD-2206,33.8455,-3.9222,827.8
NORAD-2207,8.1100,121.3823,33816.5
NORAD-2215,4.3533,160.3645,33747.2
NORAD-2216,-2.7317,-151.5903,33674.0
NORAD-2217,2.6350,173.0777,33722.2
NORAD-2218,8.6081,97.4459,33927.9
NORAD-2219,6.7460,140.4508,33809.2
NORAD-2220,8.4811,96.1612,34007.5
NORAD-2221,8.1579,119.7898,33922.3
NORAD-2222,-0.4994,10.9759,34739.7
NORAD-2223,-35.2021,-165.7072,1392.8
NORAD-2224,-31.5407,-109.9870,1379.9
NORAD-2226,-44.0794,92.1205,1140.3
NORAD-2255,77.5418,-50.2509,4181.8
NORAD-2256,30.6872,-58.1086,4209.0
NORAD-2327,21.9226,-129.7018,898.5
NORAD-2328,29.9776,-5.5921,1007.3
NORAD-2329,24.3596,146.1072,906.1
NORAD-2334,12.4982,27.6316,1328.0
NORAD-2337,-6.7590,-76.9613,1001.9
NORAD-2353,68.6605,157.4068,1014.8
NORAD-2359,-68.5029,-37.9437,4208.0
NORAD-2361,87.1999,-145.5588,3760.2
NORAD-2362,55.9409,91.0617,4454.8
NORAD-2364,-0.7214,66.5357,4206.1
NORAD-2365,-38.6617,-115.2361,3515.3
NORAD-2367,-33.4630,15.4501,3164.6
NORAD-2371,-81.7240,-42.4698,3879.0
NORAD-2375,37.2815,18.4019,3905.4
NORAD-2378,78.8866,136.3367,3527.3
NORAD-2380,49.3343,-141.3656,3036.8
NORAD-2381,51.9032,-121.6897,3521.4
NORAD-2386,56.5170,-62.0055,1042.2
NORAD-2389,-55.7394,-96.5455,1745.9
NORAD-2401,-22.4015,-149.8728,1050.7
NORAD-2403,-60.6112,62.7633,3707.7
NORAD-2411,-47.8007,-115.2383,3700.5
NORAD-2412,-87.1618,57.3652,3712.1
NORAD-2413,-70.2770,32.3831,1071.6
NORAD-2418,72.8006,-76.6776,789.6
NORAD-2422,34.5577,138.7968,663.7
NORAD-2431,-28.7325,-21.7208,3401.3
NORAD-2432,-68.4838,36.9329,1109.5
NORAD-2435,43.8480,-108.8550,1479.7
NORAD-2436,72.1275,-32.0095,1460.7
NORAD-2481,-3.7645,177.9156,3713.5
NORAD-2498,-37.0355,-10.6557,2909.6
NORAD-2511,62.9992,3.4444,4235.2
NORAD-2514,14.7366,70.7800,22354.2
NORAD-2516,40.8273,64.8411,1557.7
NORAD-2518,20.1126,69.6342,1438.3
NORAD-2520,18.0444,-1.9473,3701.1
NORAD-2529,-30.6319,-93.9789,12618.9
NORAD-2580,-67.5630,73.1336,915.2
NORAD-2608,4.5027,153.1585,35777.0
NORAD-2610,-80.3940,27.2074,1366.5
NORAD-2620,36.2799,-141.1094,1045.8
NORAD-2621,-8.1958,1.7012,659.6
NORAD-2622,16.3283,-107.5605,3741.0
NORAD-2639,-3.1763,-64.1107,35807.4
NORAD-2643,-23.4318,82.9458,7069.6
NORAD-2644,-32.5799,-167.6970,962.9
NORAD-2645,1.6374,179.8273,33578.9
NORAD-2647,-40.2654,-54.2162,1602.0
NORAD-2649,-6.6874,-41.9082,33825.0
NORAD-2650,-6.9685,-45.1960,33836.9
NORAD-2651,1.6954,179.8777,33682.9
NORAD-2652,8.3192,100.6657,33616.3
NORAD-2653,2.7965,32.3610,33687.5
NORAD-2654,5.5188,151.5482,33863.6
NORAD-2655,8.0618,111.4208,33785.1
NORAD-2657,27.9990,-7.9293,1439.7
NORAD-2661,-35.4969,-112.1319,1367.1
NORAD-2669,70.6147,9.8715,828.7
NORAD-2671,-31.5823,-143.7559,763.4
NORAD-2674,39.8245,-125.7079,529.9
NORAD-2680,36.0228,75.3333,882.9
NORAD-2682,-24.3803,-13.1121,1577.6
NORAD-2684,2.5182,46.7676,598.6
NORAD-2685,-29.3047,-94.5249,746.3
NORAD-2700,-31.7991,-174.2880,2006.1
NORAD-2701,-5.5436,-106.2349,1079.1
NORAD-2702,14.9111,-138.4860,1193.9
NORAD-2706,-18.8863,-155.8664,1407.3
NORAD-2707,27.0704,-43.1056,1461.3
NORAD-2717,0.1940,36.9517,35818.7
NORAD-2741,14.9040,111.1173,837.2
NORAD-2754,31.7029,2.2700,1039.1
NORAD-2755,-75.7648,24.5333,1054.6
NORAD-2757,18.6715,-21.7311,1427.9
NORAD-2758,46.1460,54.6643,1407.3
NORAD-2770,-3.2799,6.1480,96756.9
NORAD-2775,-40.9021,-27.6037,1470.1
NORAD-2777,-31.3936,-146.9603,841.6
NORAD-2778,-47.0371,3.6857,1058.5
NORAD-2796,42.5365,-131.7919,3039.6
NORAD-2799,17.4242,-164.8776,657.5
NORAD-2800,-69.9005,169.2081,982.0
NORAD-2801,72.1700,50.2699,800.6
NORAD-2802,-73.1212,13.0086,798.7
NORAD-2807,64.6388,133.0739,1074.5
NORAD-2811,-13.4247,136.8579,1088.3
NORAD-2825,68.3524,101.6796,899.5
NORAD-2826,49.2564,-28.9980,638.0
NORAD-2828,64.0570,109.2499,897.6
